module	genome_name	db_name	stepwise_module_completeness	stepwise_module_is_complete	step_id	step	step_completeness	step_copy_number
M00529	KMM366	KMM366	0.25	False	3	K00376	0	0
M00176	KMM366	KMM366	1.0	True	0	(K00958+K00860,K00955+K00957,K00956+K00957+K00860)	1	1
M00176	KMM366	KMM366	1.0	True	1	K00390	1	1
M00176	KMM366	KMM366	1.0	True	2	(K00380+K00381,K00392)	1	1
M00986	KMM366	KMM366	1.0	True	0	K18367,(K17219+K17220+K17221)	1	1
M00985	KMM366	KMM366	0.0	False	0	K17229+K17230	0	0
M00990	KMM366	KMM366	0.25	False	0	K17486	0	0
M00990	KMM366	KMM366	0.25	False	1	K20034	1	1
M00990	KMM366	KMM366	0.25	False	2	K20035	0	0
M00990	KMM366	KMM366	0.25	False	3	K20036	0	0
M00991	KMM366	KMM366	0.3333333333333333	False	0	K28073	0	0
M00991	KMM366	KMM366	0.3333333333333333	False	1	(K28060,K28061)	0	0
M00991	KMM366	KMM366	0.3333333333333333	False	2	K00140	1	1
M00992	KMM366	KMM366	0.2	False	0	K28069	0	0
M00992	KMM366	KMM366	0.2	False	1	K28070	0	0
M00992	KMM366	KMM366	0.2	False	2	K28071	0	0
M00992	KMM366	KMM366	0.2	False	3	K28060	0	0
M00992	KMM366	KMM366	0.2	False	4	K00140	1	1
M00993	KMM366	KMM366	0.5	False	0	K28072	0	0
M00993	KMM366	KMM366	0.5	False	1	K19745	1	1
M00144	KMM366	KMM366	1.0	True	0	K00330+(K00331+K00332+K00333,K00331+K13378,K13380)+K00334+K00335+K00336+K00337+K00338+K00339+K00340+(K00341+K00342)+K00343	1	1
M00149	KMM366	KMM366	1.0	True	0	K00241+(K00242,K18859,K18860)+K00239+K00240	1	1
M00150	KMM366	KMM366	1.0	True	0	K00244+K00245+K00246+K00247	1	1
M00151	KMM366	KMM366	1.0	True	0	((K00412+K00413,K00410)+K00411),K03886+K03887+K03888,K03890+K03891+K03889	1	1
