module	db_name	module_name	module_substrates	module_intermediates	module_products	pathwise_module_completeness	stepwise_module_completeness
M00958	KMM289	Adenine ribonucleotide degradation, AMP => Urate	AMP	Inosine,Xanthine,IMP,Hypoxanthine,Adenosine	Urate	1.0	1.0
M00959	KMM289	Guanine ribonucleotide degradation, GMP => Urate	GMP	Guanine,Guanosine,Xanthine	Urate	1.0	1.0
M00546	KMM289	Purine degradation, xanthine => urea	Xanthine	5-Hydroxyisourate,Urate,Allantoate,(S)(+)-Allantoin,5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate	Urea	0.2	0.2
M00051	KMM289	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP	5-Phospho-alpha-D-ribose 1-diphosphate,L-Glutamine	Orotidine 5'-phosphate,(S)-Dihydroorotate,N-Carbamoyl-L-aspartate,Carbamoyl phosphate,Orotate	UMP	1.0	1.0
M00052	KMM289	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	UMP	CTP,UDP,UTP	CDP	1.0	1.0
M00938	KMM289	Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP	UDP	dUDP,dTMP,dUTP,dUMP,dTDP	dTTP	1.0	1.0
M00046	KMM289	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	Thymine,Uracil	5,6-Dihydrouracil,3-Ureidopropionate,(R)-5,6-Dihydrothymine,(R)-3-Ureidoisobutyrate	(R)-3-Amino-2-methylpropanoate,beta-Alanine	0.3333333333333333	0.3333333333333333
M00939	KMM289	Pyrimidine degradation, uracil => 3-hydroxypropanoate	Uracil	(Z)-3-Peroxyaminoacrylate,(Z)-3-Ureidoacrylate peracid,Aminoacrylate,3-Oxopropanoate	3-Hydroxypropanoate	0.4	0.4
M00020	KMM289	Serine biosynthesis, glycerate-3P => serine	3-Phospho-D-glycerate	3-Phosphonooxypyruvate,O-Phospho-L-serine	L-Serine	1.0	1.0
M00018	KMM289	Threonine biosynthesis, aspartate => homoserine => threonine	L-Aspartate	O-Phospho-L-homoserine,L-Homoserine,4-Phospho-L-aspartate,L-Aspartate 4-semialdehyde	L-Threonine	1.0	1.0
M00621	KMM289	Glycine cleavage system	Tetrahydrofolate,Glycine	[H-protein]-S-aminomethyldihydrolipoyllysine,[H-protein]-dihydrolipoyllysine,[H-protein]-lipoyllysine	Ammonia,CO2,5,10-Methylenetetrahydrofolate	1.0	1.0
M00975	KMM289	Betaine degradation, bacteria, betaine => pyruvate	Betaine	L-Serine,Sarcosine,Glycine,N,N-Dimethylglycine	Pyruvate	0.5	0.5
